nb_sow, date, nb_S, nb_IN, nb_IP, nb_CP, nb_S_o, nb_IN_o, nb_IP_o, nb_CP_o, seed
99.0,154.0,0.0,557.0,345.0,187.0,0.0,66.0,319.0,606.0,1
96.0,122.0,1056.0,0.0,280.0,681.0,0.0,0.0,0.0,0.0,1
99.0,154.0,0.0,581.0,383.0,125.0,0.0,62.0,414.0,515.0,9
95.0,154.0,0.0,561.0,325.0,159.0,0.0,57.0,290.0,604.0,1
95.0,154.0,0.0,522.0,294.0,229.0,0.0,57.0,214.0,680.0,2
95.0,154.0,0.0,561.0,325.0,159.0,0.0,57.0,290.0,604.0,1
95.0,147.0,12.0,995.0,217.0,772.0,0.0,0.0,0.0,0.0,7
95.0,154.0,0.0,561.0,325.0,159.0,0.0,57.0,290.0,604.0,1
95.0,147.0,17.0,986.0,434.0,559.0,0.0,0.0,0.0,0.0,5
95.0,154.0,0.0,522.0,294.0,229.0,0.0,57.0,214.0,680.0,2
95.0,147.0,13.0,984.0,465.0,534.0,0.0,0.0,0.0,0.0,9
95.0,147.0,12.0,995.0,217.0,772.0,0.0,0.0,0.0,0.0,7
95.0,122.0,1045.0,2.0,380.0,569.0,0.0,0.0,0.0,0.0,5
95.0,147.0,18.0,975.0,215.0,788.0,0.0,0.0,0.0,0.0,6
95.0,122.0,1045.0,2.0,380.0,569.0,0.0,0.0,0.0,0.0,5
95.0,122.0,1045.0,0.0,198.0,753.0,0.0,0.0,0.0,0.0,8
95.0,122.0,1045.0,0.0,155.0,796.0,0.0,0.0,0.0,0.0,2
95.0,122.0,1045.0,0.0,296.0,655.0,0.0,0.0,0.0,0.0,1
94.0,147.0,12.0,968.0,212.0,783.0,0.0,0.0,0.0,0.0,7
94.0,154.0,0.0,532.0,336.0,166.0,0.0,68.0,287.0,586.0,3
94.0,147.0,23.0,963.0,351.0,638.0,0.0,0.0,0.0,0.0,1
94.0,154.0,0.0,530.0,268.0,236.0,0.0,61.0,182.0,698.0,6
94.0,154.0,0.0,538.0,389.0,107.0,0.0,56.0,402.0,483.0,0
94.0,154.0,0.0,526.0,270.0,238.0,0.0,61.0,176.0,704.0,8
94.0,154.0,0.0,532.0,336.0,166.0,0.0,68.0,287.0,586.0,3
94.0,147.0,13.0,969.0,334.0,659.0,0.0,0.0,0.0,0.0,3
94.0,147.0,17.0,959.0,228.0,771.0,0.0,0.0,0.0,0.0,8
94.0,147.0,23.0,963.0,351.0,638.0,0.0,0.0,0.0,0.0,1
94.0,122.0,1034.0,0.0,162.0,779.0,0.0,0.0,0.0,0.0,2
94.0,122.0,1034.0,0.0,381.0,560.0,0.0,0.0,0.0,0.0,9
94.0,122.0,1034.0,0.0,162.0,779.0,0.0,0.0,0.0,0.0,2
94.0,122.0,1034.0,0.0,162.0,779.0,0.0,0.0,0.0,0.0,2
94.0,122.0,1034.0,1.0,405.0,535.0,0.0,0.0,0.0,0.0,0
93.0,154.0,0.0,543.0,325.0,155.0,0.0,59.0,292.0,580.0,1
93.0,154.0,0.0,509.0,356.0,158.0,0.0,56.0,263.0,612.0,4
93.0,147.0,15.0,965.0,340.0,634.0,0.0,0.0,0.0,0.0,1
93.0,154.0,0.0,535.0,259.0,229.0,0.0,58.0,187.0,686.0,6
93.0,154.0,0.0,560.0,343.0,120.0,0.0,61.0,328.0,542.0,9
93.0,122.0,1023.0,2.0,376.0,553.0,0.0,0.0,0.0,0.0,5
93.0,154.0,0.0,509.0,356.0,158.0,0.0,56.0,263.0,612.0,4
93.0,147.0,26.0,949.0,304.0,675.0,0.0,0.0,0.0,0.0,3
93.0,147.0,14.0,953.0,224.0,763.0,0.0,0.0,0.0,0.0,6
93.0,147.0,26.0,949.0,304.0,675.0,0.0,0.0,0.0,0.0,3
93.0,122.0,1023.0,0.0,280.0,651.0,0.0,0.0,0.0,0.0,4
93.0,122.0,1023.0,0.0,289.0,642.0,0.0,0.0,0.0,0.0,3
93.0,122.0,1023.0,0.0,365.0,566.0,0.0,0.0,0.0,0.0,9
93.0,122.0,1023.0,0.0,170.0,761.0,0.0,0.0,0.0,0.0,8
93.0,147.0,20.0,945.0,198.0,791.0,0.0,0.0,0.0,0.0,7
92.0,154.0,0.0,524.0,372.0,116.0,0.0,57.0,362.0,502.0,5
92.0,154.0,0.0,535.0,251.0,226.0,0.0,59.0,171.0,691.0,2
92.0,154.0,0.0,548.0,339.0,125.0,0.0,62.0,266.0,593.0,1
92.0,154.0,0.0,548.0,339.0,125.0,0.0,62.0,266.0,593.0,1
92.0,154.0,0.0,552.0,249.0,211.0,0.0,53.0,163.0,705.0,6
92.0,147.0,7.0,956.0,435.0,535.0,0.0,0.0,0.0,0.0,5
92.0,147.0,16.0,941.0,227.0,749.0,0.0,0.0,0.0,0.0,8
92.0,147.0,12.0,956.0,382.0,583.0,0.0,0.0,0.0,0.0,9
92.0,147.0,11.0,947.0,215.0,760.0,0.0,0.0,0.0,0.0,2
92.0,122.0,1012.0,0.0,347.0,574.0,0.0,0.0,0.0,0.0,5
92.0,122.0,1012.0,0.0,180.0,741.0,0.0,0.0,0.0,0.0,6
92.0,122.0,1012.0,1.0,295.0,625.0,0.0,0.0,0.0,0.0,1
92.0,122.0,1012.0,0.0,347.0,574.0,0.0,0.0,0.0,0.0,5
92.0,147.0,21.0,957.0,203.0,752.0,0.0,0.0,0.0,0.0,7
92.0,122.0,1012.0,0.0,268.0,653.0,0.0,0.0,0.0,0.0,4
91.0,154.0,0.0,518.0,352.0,131.0,0.0,59.0,363.0,489.0,9
